Source,Target,Weight
doc_279,topic_3,0.6688209176063538
doc_280,topic_3,0.703224241733551
doc_281,topic_3,0.9980632066726685
doc_282,topic_2,0.9456790089607239
doc_283,topic_3,0.9979366064071655
doc_284,topic_3,0.8971887230873108
doc_285,topic_3,0.5925717353820801
doc_286,topic_3,0.6686369776725769
doc_287,topic_3,0.8454691171646118
doc_288,topic_3,0.8922582864761353
doc_289,topic_3,0.9874307513237
doc_290,topic_3,0.8733053207397461
doc_291,topic_2,0.6050547957420349
doc_292,topic_3,0.5588372945785522
doc_293,topic_0,0.9626765847206116
doc_294,topic_3,0.7239866852760315
doc_295,topic_3,0.8004942536354065
doc_296,topic_0,0.9713766574859619
doc_297,topic_3,0.9838240146636963
doc_298,topic_3,0.6980655789375305
doc_299,topic_3,0.9965117573738098
doc_300,topic_2,0.63376784324646
doc_301,topic_3,0.6860181093215942
doc_302,topic_3,0.9050807356834412
doc_303,topic_3,0.8730352520942688
doc_304,topic_2,0.650924563407898
doc_305,topic_2,0.5728137493133545
doc_306,topic_2,0.8223026990890503
doc_307,topic_2,0.5273156762123108
doc_308,topic_1,0.8371483683586121
doc_309,topic_2,0.8197500705718994
doc_310,topic_2,0.5712815523147583
doc_311,topic_0,0.7345035076141357
doc_312,topic_0,0.6864739656448364
doc_313,topic_1,0.9429869055747986
doc_314,topic_3,0.961851179599762
doc_315,topic_3,0.5010502338409424
doc_316,topic_2,0.4496765434741974
doc_317,topic_2,0.6973313689231873
doc_318,topic_2,0.8938854932785034
doc_319,topic_0,0.7755196690559387
doc_320,topic_3,0.527292013168335
doc_321,topic_0,0.5626082420349121
doc_322,topic_3,0.6806838512420654
doc_323,topic_3,0.8068248629570007
doc_324,topic_0,0.4634755849838257
doc_325,topic_2,0.5385818481445312
doc_326,topic_0,0.4918624758720398
doc_327,topic_0,0.6275160312652588
doc_328,topic_0,0.9447426795959473
doc_329,topic_3,0.8851292729377747
doc_330,topic_0,0.9427698254585266
doc_331,topic_2,0.6255722641944885
doc_332,topic_3,0.8045281171798706
doc_333,topic_0,0.4130914807319641
doc_334,topic_0,0.6847624182701111
doc_335,topic_0,0.6465187072753906
doc_336,topic_0,0.8948239088058472
doc_337,topic_0,0.6038963198661804
doc_338,topic_3,0.7993650436401367
doc_339,topic_2,0.7568724751472473
doc_340,topic_2,0.7865917682647705
doc_341,topic_2,0.7347762584686279
doc_342,topic_2,0.5635622143745422
doc_343,topic_0,0.9302696585655212
doc_344,topic_2,0.9721876382827759
doc_345,topic_1,0.9895684123039246
doc_346,topic_0,0.8806071877479553
doc_347,topic_3,0.6787256002426147
doc_348,topic_3,0.5824875831604004
doc_349,topic_0,0.5988191962242126
doc_350,topic_0,0.8565512299537659
doc_351,topic_0,0.8975726366043091
doc_352,topic_3,0.9917967319488525
doc_353,topic_3,0.6400272250175476
doc_354,topic_2,0.9557552933692932
doc_355,topic_3,0.9914047718048096
doc_356,topic_3,0.7294461727142334
doc_357,topic_0,0.5967562794685364
doc_358,topic_3,0.9300752878189087
doc_359,topic_0,0.9784409999847412
doc_360,topic_3,0.9603508114814758
doc_361,topic_2,0.5710363984107971
doc_362,topic_2,0.8230885863304138
doc_363,topic_0,0.5452027916908264
doc_364,topic_2,0.7951511740684509
doc_365,topic_0,0.9980936646461487
doc_366,topic_0,0.8940454721450806
doc_367,topic_0,0.9244773983955383
